,ticker,company
0,0050.TW,元大台灣50
1,0051.TW,元大中型100
2,0052.TW,富邦科技
3,0053.TW,元大電子
4,0054.TW,元大台商50
5,0055.TW,元大MSCI金融
6,0056.TW,元大高股息
7,0057.TW,富邦摩台
8,0061.TW,元大寶滬深
9,006203.TW,元大MSCI台灣
10,006204.TW,永豐臺灣加權
11,006205.TW,富邦上証
12,006206.TW,元大上證50
13,006207.TW,FH滬深
14,006208.TW,富邦台50
15,00636.TW,國泰中國A50
16,00639.TW,富邦深100
17,00643.TW,群益深証中小
18,00645.TW,富邦日本
19,00646.TW,元大S&P500
20,00652.TW,富邦印度
21,00657.TW,國泰日經225
22,00660.TW,元大歐洲50
23,00661.TW,元大日經225
24,00662.TW,富邦NASDAQ
25,00668.TW,國泰美國道瓊
26,00678.TW,群益NBI生技
27,00690.TW,兆豐藍籌30
28,00692.TW,富邦公司治理
29,00700.TW,富邦恒生國企
30,00701.TW,國泰股利精選30
31,00702.TW,國泰標普低波高息
32,00703.TW,台新MSCI中國
33,00709.TW,富邦歐洲
34,00712.TW,FH富時不動產
35,00713.TW,元大台灣高息低波
36,00714.TW,群益道瓊美國地產
37,00717.TW,富邦美國特別股
38,00728.TW,第一金工業30
39,00730.TW,富邦臺灣優質高息
40,00731.TW,FH富時高息低波
41,00732.TW,國泰RMB短期報酬
42,00733.TW,富邦臺灣中小
43,00735.TW,國泰臺韓科技
44,00736.TW,國泰新興市場
45,00737.TW,國泰AI+Robo
46,00739.TW,元大MSCI A股
47,00742.TW,新光內需收益
48,00743.TW,國泰中國A150
49,00752.TW,中信中國50
50,00757.TW,統一FANG+
51,00762.TW,元大全球AI
52,00770.TW,國泰北美科技
53,00771.TW,元大US高息特別股
54,00783.TW,富邦中証500
55,008201.TW,BP上證50
56,00830.TW,國泰費城半導體
57,00850.TW,元大臺灣ESG永續
58,00851.TW,台新全球AI
59,00861.TW,元大全球未來通訊
60,00866.TW,新光Shiller CAPE
61,00875.TW,國泰網路資安
62,00876.TW,元大未來關鍵科技
63,00878.TW,國泰永續高股息
64,1101.TW,台泥
65,1102.TW,亞泥
66,1103.TW,嘉泥
67,1104.TW,環泥
68,1108.TW,幸福
69,1109.TW,信大
70,1110.TW,東泥
71,1201.TW,味全
72,1203.TW,味王
73,1210.TW,大成
74,1213.TW,大飲
75,1215.TW,卜蜂
76,1216.TW,統一
77,1217.TW,愛之味
78,1218.TW,泰山
79,1219.TW,福壽
80,1220.TW,台榮
81,1225.TW,福懋油
82,1227.TW,佳格
83,1229.TW,聯華
84,1231.TW,聯華食
85,1232.TW,大統益
86,1233.TW,天仁
87,1234.TW,黑松
88,1235.TW,興泰
89,1236.TW,宏亞
90,1256.TW,鮮活果汁-KY
91,1301.TW,台塑
92,1303.TW,南亞
93,1304.TW,台聚
94,1305.TW,華夏
95,1307.TW,三芳
96,1308.TW,亞聚
97,1309.TW,台達化
98,1310.TW,台苯
99,1312.TW,國喬
100,1313.TW,聯成
101,1314.TW,中石化
102,1315.TW,達新
103,1316.TW,上曜
104,1319.TW,東陽
105,1321.TW,大洋
106,1323.TW,永裕
107,1324.TW,地球
108,1325.TW,恆大
109,1326.TW,台化
110,1337.TW,再生-KY
111,1338.TW,廣華-KY
112,1339.TW,昭輝
113,1340.TW,勝悅-KY
114,1341.TW,富林-KY
115,1402.TW,遠東新
116,1409.TW,新纖
117,1410.TW,南染
118,1413.TW,宏洲
119,1414.TW,東和
120,1416.TW,廣豐
121,1417.TW,嘉裕
122,1418.TW,東華
123,1419.TW,新紡
124,1423.TW,利華
125,1432.TW,大魯閣
126,1434.TW,福懋
127,1435.TW,中福
128,1436.TW,華友聯
129,1437.TW,勤益控
130,1438.TW,三地開發
131,1439.TW,中和
132,1440.TW,南紡
133,1441.TW,大東
134,1442.TW,名軒
135,1443.TW,立益
136,1444.TW,力麗
137,1445.TW,大宇
138,1446.TW,宏和
139,1447.TW,力鵬
140,1449.TW,佳和
141,1451.TW,年興
142,1452.TW,宏益
143,1453.TW,大將
144,1454.TW,台富
145,1455.TW,集盛
146,1456.TW,怡華
147,1457.TW,宜進
148,1459.TW,聯發
149,1460.TW,宏遠
150,1463.TW,強盛
151,1464.TW,得力
152,1465.TW,偉全
153,1466.TW,聚隆
154,1467.TW,南緯
155,1468.TW,昶和
156,1470.TW,大統新創
157,1471.TW,首利
158,1472.TW,三洋紡
159,1473.TW,台南
160,1474.TW,弘裕
161,1475.TW,本盟
162,1476.TW,儒鴻
163,1477.TW,聚陽
164,1503.TW,士電
165,1504.TW,東元
166,1506.TW,正道
167,1507.TW,永大
